AL	0103076	02403132	Auburn city	25	A	155607196	2672443	60.08	1.032	32.607722	-85.489545                                                                                                                 
AL	0107000	02403868	Birmingham city	25	A	378334037	6593183	146.076	2.546	33.527444	-86.799047                                                                                                           
AL	0120104	02404206	Decatur city	25	A	140275022	16996338	54.16	6.562	34.572995	-86.989901                                                                                                               
AL	0121184	02404238	Dothan city	25	A	232478832	839910	89.761	0.324	31.233698	-85.406823                                                                                                                 
AL	0135896	02404725	Hoover city	25	A	124023569	2451949	47.886	0.947	33.374963	-86.806088                                                                                                                
AL	0145784	02404989	Madison city	25	A	78523947	351493	30.318	0.136	34.710533	-86.76228                                                                                                                  
AL	0150000	02404278	Mobile city	25	A	361212260	105131231	139.465	40.591	30.668426	-88.100226                                                                                                            
AL	0151000	02404289	Montgomery city	25	A	414093464	5965794	159.882	2.303	32.347174	-86.266114                                                                                                           
AL	0159472	02404510	Phenix City city	25	A	72515506	325564	27.998	0.126	32.461669	-85.025021                                                                                                             
AL	0177256	02405614	Tuscaloosa city	25	A	160187343	26093108	61.849	10.075	33.234404	-87.5283                                                                                                            
AZ	0402830	02409718	Apache Junction city	25	A	90832326	30857	35.071	0.012	33.398314	-111.535346                                                                                                         
AZ	0404720	02409765	Avondale city	25	A	117194425	186352	45.249	0.072	33.42038	-112.290117                                                                                                               
AZ	0407940	02411736	Buckeye city	25	A	1018159832	456828	393.114	0.176	33.432902	-112.64818                                                                                                              
AZ	0408220	02409936	Bullhead City city	25	A	153800644	2019581	59.383	0.78	35.127371	-114.55599                                                                                                          
AZ	0410530	02409401	Casa Grande city	25	A	286524729	0	110.628	0.	32.906816	-111.762325                                                                                                                  
AZ	0412000	02409433	Chandler city	25	A	168669375	182929	65.124	0.071	33.282765	-111.851819                                                                                                              
AZ	0423620	02410509	Flagstaff city	25	A	170998861	135275	66.023	0.052	35.185212	-111.620698                                                                                                             
AZ	0428380	02410622	Goodyear city	25	A	495193521	79037	191.195	0.031	33.254031	-112.366472                                                                                                              
AZ	0439370	02411604	Lake Havasu City city	25	A	120017121	118649	46.339	0.046	34.499809	-114.310943                                                                                                      
AZ	0444410	02411032	Maricopa city	25	A	110845733	257132	42.798	0.099	33.041942	-111.999259                                                                                                              
